gid,light,dem,ndvi,road_dis,poi_dis,poi
9854,5,25,0.790062739130435,521,13183.926131528622,0.0
9855,6,25,0.7956778888888891,588,13313.678866404309,0.0
9856,6,24,0.81371705,574,12982.387077456191,0.0
9857,7,24,0.800067875,348,12637.086819768654,0.0
9858,7,26,0.788121,590,12234.119863817165,0.0
9859,10,26,0.8188954347826091,902,11734.543081022202,0.0
9860,10,25,0.86952412,639,11302.064900493606,0.0
9861,12,25,0.85911655,194,10921.052376109632,0.0
9862,12,34,0.851591769230769,189,10580.193158586142,0.0
9863,13,34,0.8637247826086959,333,10030.573916981899,0.0
9864,13,46,0.8724571666666671,9,9403.245387592779,0.0
9865,13,46,0.912487,125,8888.753602005949,0.0
9866,13,31,0.9114693809523811,131,8502.177616190289,0.0
9867,12,31,0.891117,265,8059.726613152647,0.0
9868,12,31,0.9466693809523811,168,7972.172467026731,0.19745238388686556
9869,9,31,0.9095351666666658,204,8347.797744989628,0.0
9870,9,39,0.894477681818182,20,8908.771493105342,0.0
9871,7,39,0.88858175,48,9582.830347587684,0.0
9872,7,38,0.885725307692308,94,10314.754291677515,0.0
9873,6,38,0.9028767,192,11084.885635190805,0.0
9874,6,38,0.9230978000000001,45,11559.950260687645,0.0
9875,6,38,0.8715424782608691,14,11897.869949776548,0.0
9876,6,37,0.8823836666666658,113,12268.079744079809,0.0
9877,5,37,0.9416545416666671,57,12635.002184055755,0.0
9878,5,35,0.952050523809524,30,13079.8717659222,0.0
9879,3,35,0.948141,74,13630.10938221013,0.0
9880,3,30,0.948141,275,14164.980555721884,0.0
9881,3,30,0.9118322,210,14691.572812510038,0.0
9882,3,30,0.857369,1,15025.769716630943,0.0
9883,2,30,0.866949173913043,373,15325.89827380037,0.0
9884,2,19,0.9463626,18,15432.948241751645,0.0
9885,2,19,0.925729909090909,137,15612.377277766689,0.0
9886,2,21,0.8648658000000001,149,15830.269557695317,0.0
9887,0,21,0.844432380952381,253,16069.491956119216,0.0
9888,0,21,0.78167748,752,16282.904616832828,0.0
9889,0,21,0.73276992,994,16487.74216779795,0.0
9890,0,32,0.796359619047619,539,16578.528891708644,0.0
9891,0,32,0.89966468,147,16616.57990186495,0.0
9892,0,93,0.969457,95,16597.80372692414,0.0
9893,0,93,0.9694569999999989,18,16451.273547652327,0.0
9894,0,45,0.969457,152,16180.118898045814,0.15015565007210477
9895,0,45,0.9734585652173909,109,16065.174384905464,0.0
9896,0,30,0.974301,125,16088.019839349725,0.0
9897,0,30,0.974301,54,16179.468826603063,0.0
9898,0,19,0.96303862962963,163,16326.749943446406,0.0
9899,0,19,0.9134841999999999,168,16448.249531739635,0.0
9900,0,19,0.804330625,569,16405.59284998628,0.0
9901,0,19,0.744693333333333,1041,16289.898706147003,0.0
9902,0,24,0.783148,1043,16075.983742989694,0.0
9903,0,24,0.794375,765,15879.510009341275,0.0
9904,0,24,0.8094710999999999,634,15742.029390199172,0.0
9905,0,24,0.8971138888888891,140,15680.328834653621,0.0
9906,5,32,0.965641,272,15731.583318539622,0.0
9907,5,33,0.965641,207,15922.34967628592,0.0
9908,5,37,0.965641,146,16224.97325406794,0.0
9909,0,37,0.0,635,16625.791879161956,0.0
9910,0,0,0.0,1109,17097.818136037855,0.0
9911,0,0,0.0,1505,17629.276899825367,0.0
9912,0,0,0.0,1950,18235.02492437505,0.0
